"Trait","Mean","SD"
"Sincerity",3.62666666666667,0.692619154513903
"Fairness",4.31083333333333,0.960903441368765
"Greed Avoidance",3.44416666666667,0.925533908405079
"Modesty",3.48166666666667,0.62493923896398
"Fearfulness",2.8075,0.750853750416851
"Anxiety",2.585,0.80098705829653
"Dependence",2.9275,0.776398565455573
"Sentimentality",3.41083333333333,1.00217537912482
"Social Self-Esteem",3.24083333333333,0.820233859438547
"Social Boldness",2.82833333333333,0.889194078507648
"Sociability",2.88166666666667,1.09754083073905
"Liveliness",2.9775,0.709846243184544
"Forgiveness",3.06333333333333,0.804557808018604
"Gentleness",3.48666666666667,0.863020802321525
"Flexibility",2.8425,0.816060823443038
"Patience",3.30083333333333,0.520603237914099
"Organization",3.06166666666667,0.928882823551236
"Diligence",3.08666666666667,0.923941438346537
"Perfectionism",3.15666666666667,0.747653333602129
"Prudence",3.07166666666667,0.904206384724275
"Aesthetic Appreciation",2.95333333333333,0.844214357748266
"Inquisitiveness",3.00583333333333,0.815920785359806
"Creativity",3.145,0.813643072954735
"Unconventionality",3.05166666666667,0.796783178579833
"Altruism",3.9175,1.03495855668081
