"Trait","honest","faking","persona_GPT3.5","shape_GPT3.5","persona_GPT4","shape_GPT4"
"Sincerity","0.653389406313495","0.549651321564361","0.220921719361116","0.555254738831695","0.491335401766422","0.6421012810944"
"Fairness","0.751696909234898","0.691885052994891","0.503235911326876","0.758660328868249","0.831346491583062","0.900306666538315"
"Greed Avoidance","0.794208874393586","0.784209993933416","0.560424832819502","0.767118563279489","0.759914860344902","0.66425664798332"
"Modesty","0.675469128581861","0.619386540827691","0.227700866047159","0.336903852878419","0.487239163301905","0.591176184380918"
"Fearfulness","0.693110557445956","0.592682962207729","-0.00721322064919002","0.61692243236329","0.589211476279277","0.822553326363223"
"Anxiety","0.721501975714665","0.667564995960618","0.508320460168544","0.675800792647521","0.795824506738101","0.849929777946479"
"Dependence","0.728432103382078","0.613662739828727","0.209949661425","0.58480237867637","0.516940041350793","0.650817288237976"
"Sentimentality","0.681401252420171","0.60250370272388","0.557490852064819","0.868537790508777","0.595269660114896","0.90984435454045"
"Social Self-Esteem","0.699352743922988","0.627198875485559","0.38318174461887","0.734890326598514","0.629207319462403","0.909912102832958"
"Social Boldness","0.692834845364048","0.652697190580173","0.422415584491605","0.778069566300423","0.874243092482102","0.853267165687694"
"Sociability","0.749407587236998","0.619411754437887","0.673285571778362","0.880705090978362","0.883223893708137","0.960808725927193"
"Liveliness","0.786636316704673","0.683736826464694","-0.172609263078195","0.463875533357025","0.718342097710351","0.88392125279642"
"Forgiveness","0.763743943793909","0.708413243000829","0.376929871403479","0.770968241939928","-0.0327218239987041","0.886665972460798"
"Gentleness","0.626676427781935","0.521436424204515","0.599085837637424","0.82719144626223","0.697292250233427","0.868958813171535"
"Flexibility","0.612915020913989","0.509956934092412","0.401848512089217","0.839619479677485","0.842758620689655","0.850846579109154"
"Patience","0.762897769289553","0.651336481065877","0.340121419846493","0.375471854950182","0.587886400111646","0.852264802538914"
"Organization","0.743454476926748","0.710636320205749","0.492260330937574","0.69143993548269","0.54138902887433","0.760272942443025"
"Diligence","0.694344926887937","0.63654635064286","0.542646797213898","0.609874108705305","0.665674806758328","0.892306341634719"
"Perfectionism","0.67189719503854","0.585562855721044","0.455495773470896","0.662195940780333","0.763453611158168","0.871164801368452"
"Prudence","0.674613027418062","0.620763893637993","0.552854964926098","0.745666454179464","0.734910624232924","0.80526526010304"
"Aesthetic Appreciation","0.65077020202423","0.664976365302445","0.0945517510486783","0.650841819309964","0.354393002395677","0.820241092397067"
"Inquisitiveness","0.696641554979557","0.692522153696575","0.27014077392556","0.780598900414569","0.354939710878689","0.802014540902306"
"Creativity","0.706145000841749","0.705110414777682","0.498297506448839","0.73014469690272","0.797701620462204","0.863068014679153"
"Unconventionality","0.502450663733068","0.489534122546714","0.442946080437733","0.684996495294622","0.519395900755124","0.825608624045516"
"Altruism","0.493897614765322","0.587598639673629","0.302176607145974","0.794815669127042","0.587790484411799","0.939840937061842"
